old_path	new_path	old_category	status
docs/papers/[Blockmedin et al, 2025]-ssl-phoneme-recognition-child-speech-reading.md	docs/papers/[Blockmedin et al, 2025]-ssl-phoneme-recognition-child-speech-reading.md	child_speech_l2	moved
docs/papers/[Blockmedin et al, 2025]-ssl-phoneme-recognition-child-speech-reading.pdf	docs/papers/[Blockmedin et al, 2025]-ssl-phoneme-recognition-child-speech-reading.pdf	child_speech_l2	moved
docs/papers/[Li et al, 2025]-k-function-kids-wfst-language-assessment.md	docs/papers/[Li et al, 2025]-k-function-kids-wfst-language-assessment.md	child_speech_l2	moved
docs/papers/[Li et al, 2025]-k-function-kids-wfst-language-assessment.pdf	docs/papers/[Li et al, 2025]-k-function-kids-wfst-language-assessment.pdf	child_speech_l2	moved
docs/papers/[Cao et al, 2025]-segmentation-free-goodness-of-pronunciation.md	docs/papers/[Cao et al, 2025]-segmentation-free-goodness-of-pronunciation__from-core_segmentation_free.md	core_segmentation_free	collision_renamed
docs/papers/[Cao et al, 2025]-segmentation-free-goodness-of-pronunciation.pdf	docs/papers/[Cao et al, 2025]-segmentation-free-goodness-of-pronunciation.pdf	core_segmentation_free	moved
docs/papers/[Parikh et al, 2025]-gop-phonological-knowledge-ctc-mdd.md	docs/papers/[Parikh et al, 2025]-gop-phonological-knowledge-ctc-mdd.md	core_segmentation_free	moved
docs/papers/[Parikh et al, 2025]-gop-phonological-knowledge-ctc-mdd.pdf	docs/papers/[Parikh et al, 2025]-gop-phonological-knowledge-ctc-mdd.pdf	core_segmentation_free	moved
docs/papers/[Ye et al, 2025]-lcs-ctc-phonetic-transcription-alignment.md	docs/papers/[Ye et al, 2025]-lcs-ctc-phonetic-transcription-alignment.md	core_segmentation_free	moved
docs/papers/[Ye et al, 2025]-lcs-ctc-phonetic-transcription-alignment.pdf	docs/papers/[Ye et al, 2025]-lcs-ctc-phonetic-transcription-alignment.pdf	core_segmentation_free	moved
docs/papers/[Zhou et al, 2025]-phonetic-error-detection-similarity-modeling.md	docs/papers/[Zhou et al, 2025]-phonetic-error-detection-similarity-modeling.md	core_segmentation_free	moved
docs/papers/[Zhou et al, 2025]-phonetic-error-detection-similarity-modeling.pdf	docs/papers/[Zhou et al, 2025]-phonetic-error-detection-similarity-modeling.pdf	core_segmentation_free	moved
docs/papers/[Zhang et al, 2021]-speechocean762-non-native-english-corpus.md	docs/papers/[Zhang et al, 2021]-speechocean762-non-native-english-corpus.md	datasets	moved
docs/papers/[Zhang et al, 2021]-speechocean762-non-native-english-corpus.pdf	docs/papers/[Zhang et al, 2021]-speechocean762-non-native-english-corpus.pdf	datasets	moved
docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint.md	docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint.md	end_to_end_assessment	moved
docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint.pdf	docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint.pdf	end_to_end_assessment	moved
docs/papers/[El-kheir et al, 2023]-automatic-pronunciation-assessment-review.md	docs/papers/[El-kheir et al, 2023]-automatic-pronunciation-assessment-review.md	end_to_end_assessment	moved
docs/papers/[El-kheir et al, 2023]-automatic-pronunciation-assessment-review.pdf	docs/papers/[El-kheir et al, 2023]-automatic-pronunciation-assessment-review.pdf	end_to_end_assessment	moved
docs/papers/[Gong et al, 2022]-gopt-transformer-multi-aspect-pronunciation-assessment.pdf	docs/papers/[Gong et al, 2022]-gopt-transformer-multi-aspect-pronunciation-assessment.pdf	end_to_end_assessment	moved
docs/papers/[Kim et al, 2022]-ssl-pronunciation-assessment-wav2vec-hubert.md	docs/papers/[Kim et al, 2022]-ssl-pronunciation-assessment-wav2vec-hubert.md	end_to_end_assessment	moved
docs/papers/[Kim et al, 2022]-ssl-pronunciation-assessment-wav2vec-hubert.pdf	docs/papers/[Kim et al, 2022]-ssl-pronunciation-assessment-wav2vec-hubert.pdf	end_to_end_assessment	moved
docs/papers/[Zavoronkov et al, 2025]-comparison-e2e-speech-assessment-nocasa-2025.md	docs/papers/[Zavoronkov et al, 2025]-comparison-e2e-speech-assessment-nocasa-2025.md	end_to_end_assessment	moved
docs/papers/[Zavoronkov et al, 2025]-comparison-e2e-speech-assessment-nocasa-2025.pdf	docs/papers/[Zavoronkov et al, 2025]-comparison-e2e-speech-assessment-nocasa-2025.pdf	end_to_end_assessment	moved
docs/papers/[Grover et al, 2020]-gop-pipelines-oov-lexicon-expansion.md	docs/papers/[Grover et al, 2020]-gop-pipelines-oov-lexicon-expansion.md	gop_methods	moved
docs/papers/[Grover et al, 2020]-gop-pipelines-oov-lexicon-expansion.pdf	docs/papers/[Grover et al, 2020]-gop-pipelines-oov-lexicon-expansion.pdf	gop_methods	moved
docs/papers/[Grover et al, 2022]-gop-pipelines-oov-vocab-lexicon-expansion.md	docs/papers/[Grover et al, 2022]-gop-pipelines-oov-vocab-lexicon-expansion.md	gop_methods	moved
docs/papers/[Grover et al, 2022]-gop-pipelines-oov-vocab-lexicon-expansion.pdf	docs/papers/[Grover et al, 2022]-gop-pipelines-oov-vocab-lexicon-expansion.pdf	gop_methods	moved
docs/papers/[Parikh et al, 2025]-logit-based-gop-mispronunciation-detection.md	docs/papers/[Parikh et al, 2025]-logit-based-gop-mispronunciation-detection.md	gop_methods	moved
docs/papers/[Parikh et al, 2025]-logit-based-gop-mispronunciation-detection.pdf	docs/papers/[Parikh et al, 2025]-logit-based-gop-mispronunciation-detection.pdf	gop_methods	moved
docs/papers/[Yeo et al, 2023]-gop-uncertainty-quantification-dysarthric.md	docs/papers/[Yeo et al, 2023]-gop-uncertainty-quantification-dysarthric.md	gop_methods	moved
docs/papers/[Yeo et al, 2023]-gop-uncertainty-quantification-dysarthric.pdf	docs/papers/[Yeo et al, 2023]-gop-uncertainty-quantification-dysarthric.pdf	gop_methods	moved
docs/papers/[Badlani et al, 2021]-one-tts-alignment-rad-tts.md	docs/papers/[Badlani et al, 2021]-one-tts-alignment-rad-tts.md	grapheme-to-phoneme	moved
docs/papers/[Badlani et al, 2021]-one-tts-alignment-rad-tts.pdf	docs/papers/[Badlani et al, 2021]-one-tts-alignment-rad-tts.pdf	grapheme-to-phoneme	moved
docs/papers/[Gulati et al, 2020]-conformer-speech-recognition.md	docs/papers/[Gulati et al, 2020]-conformer-speech-recognition.md	grapheme-to-phoneme	moved
docs/papers/[Gulati et al, 2020]-conformer-speech-recognition.pdf	docs/papers/[Gulati et al, 2020]-conformer-speech-recognition.pdf	grapheme-to-phoneme	moved
docs/papers/[Rezackova et al, 2021]-t5g2p-grapheme-phoneme-t5.md	docs/papers/[Rezackova et al, 2021]-t5g2p-grapheme-phoneme-t5.md	grapheme-to-phoneme	moved
docs/papers/[Rezackova et al, 2021]-t5g2p-grapheme-phoneme-t5.pdf	docs/papers/[Rezackova et al, 2021]-t5g2p-grapheme-phoneme-t5.pdf	grapheme-to-phoneme	moved
docs/papers/[Xue et al, 2021]-byt5-token-free-byte-models.md	docs/papers/[Xue et al, 2021]-byt5-token-free-byte-models.md	grapheme-to-phoneme	moved
docs/papers/[Xue et al, 2021]-byt5-token-free-byte-models.pdf	docs/papers/[Xue et al, 2021]-byt5-token-free-byte-models.pdf	grapheme-to-phoneme	moved
docs/papers/[Zhu et al, 2022]-byt5-massively-multilingual-g2p.md	docs/papers/[Zhu et al, 2022]-byt5-massively-multilingual-g2p.md	grapheme-to-phoneme	moved
docs/papers/[Zhu et al, 2022]-byt5-massively-multilingual-g2p.pdf	docs/papers/[Zhu et al, 2022]-byt5-massively-multilingual-g2p.pdf	grapheme-to-phoneme	moved
docs/papers/[Feng et al, 2021]-text-dependent-e2e-mdd-data-augmentation.md	docs/papers/[Feng et al, 2021]-text-dependent-e2e-mdd-data-augmentation.md	mispronunciation_detection	moved
docs/papers/[Feng et al, 2021]-text-dependent-e2e-mdd-data-augmentation.pdf	docs/papers/[Feng et al, 2021]-text-dependent-e2e-mdd-data-augmentation.pdf	mispronunciation_detection	moved
docs/papers/[Parikh et al, 2025]-logit-based-gop-mispronunciation-detection.md	docs/papers/[Parikh et al, 2025]-logit-based-gop-mispronunciation-detection__from-mispronunciation_detection.md	mispronunciation_detection	collision_renamed
docs/papers/[Parikh et al, 2025]-logit-based-gop-mispronunciation-detection.pdf	docs/papers/[Parikh et al, 2025]-logit-based-gop-mispronunciation-detection__from-mispronunciation_detection.pdf	mispronunciation_detection	collision_renamed
docs/papers/[Peng et al, 2022]-text-aware-e2e-mdd-gating-contrastive.md	docs/papers/[Peng et al, 2022]-text-aware-e2e-mdd-gating-contrastive.md	mispronunciation_detection	moved
docs/papers/[Peng et al, 2022]-text-aware-e2e-mdd-gating-contrastive.pdf	docs/papers/[Peng et al, 2022]-text-aware-e2e-mdd-gating-contrastive.pdf	mispronunciation_detection	moved
docs/papers/[Shi et al, 2021]-coca-mdd-streaming-coupled-cross-attention.md	docs/papers/[Shi et al, 2021]-coca-mdd-streaming-coupled-cross-attention.md	mispronunciation_detection	moved
docs/papers/[Shi et al, 2021]-coca-mdd-streaming-coupled-cross-attention.pdf	docs/papers/[Shi et al, 2021]-coca-mdd-streaming-coupled-cross-attention.pdf	mispronunciation_detection	moved
docs/papers/[Yan et al, 2020]-e2e-mdd-anti-phone-ctc-attention.md	docs/papers/[Yan et al, 2020]-e2e-mdd-anti-phone-ctc-attention.md	mispronunciation_detection	moved
docs/papers/[Yan et al, 2020]-e2e-mdd-anti-phone-ctc-attention.pdf	docs/papers/[Yan et al, 2020]-e2e-mdd-anti-phone-ctc-attention.pdf	mispronunciation_detection	moved
docs/papers/[Yan et al, 2021]-e2e-mdd-raw-waveforms-sincnet.md	docs/papers/[Yan et al, 2021]-e2e-mdd-raw-waveforms-sincnet.md	mispronunciation_detection	moved
docs/papers/[Yan et al, 2021]-e2e-mdd-raw-waveforms-sincnet.pdf	docs/papers/[Yan et al, 2021]-e2e-mdd-raw-waveforms-sincnet.pdf	mispronunciation_detection	moved
docs/papers/[Yang et al, 2022]-wav2vec2-momentum-pseudo-labeling-mdd-accentedness.md	docs/papers/[Yang et al, 2022]-wav2vec2-momentum-pseudo-labeling-mdd-accentedness.md	mispronunciation_detection	moved
docs/papers/[Yang et al, 2022]-wav2vec2-momentum-pseudo-labeling-mdd-accentedness.pdf	docs/papers/[Yang et al, 2022]-wav2vec2-momentum-pseudo-labeling-mdd-accentedness.pdf	mispronunciation_detection	moved
docs/papers/[Yeo et al, 2023]-gop-uncertainty-quantification-dysarthric-speech.md	docs/papers/[Yeo et al, 2023]-gop-uncertainty-quantification-dysarthric-speech.md	mispronunciation_detection	moved
docs/papers/[Yeo et al, 2023]-gop-uncertainty-quantification-dysarthric-speech.pdf	docs/papers/[Yeo et al, 2023]-gop-uncertainty-quantification-dysarthric-speech.pdf	mispronunciation_detection	moved
docs/papers/[Bharadwaj et al, 2026]-benchmarking-phone-realization-in-speech-models.pdf	docs/papers/[Bharadwaj et al, 2026]-benchmarking-phone-realization-in-speech-models.pdf	phoneme_recognition	moved
docs/papers/[Li et al, 2020]-universal-phone-recognition-multilingual-allophone-system.pdf	docs/papers/[Li et al, 2020]-universal-phone-recognition-multilingual-allophone-system.pdf	phoneme_recognition	moved
docs/papers/[Li et al, 2025]-phonetic-open-whisper-style-speech-foundation-model.pdf	docs/papers/[Li et al, 2025]-phonetic-open-whisper-style-speech-foundation-model.pdf	phoneme_recognition	moved
docs/papers/[Pratap et al, 2023]-scaling-speech-technology-to-1000-languages-mms.pdf	docs/papers/[Pratap et al, 2023]-scaling-speech-technology-to-1000-languages-mms.pdf	phoneme_recognition	moved
docs/papers/[Xu et al, 2021]-simple-effective-zero-shot-cross-lingual-phoneme-recognition.pdf	docs/papers/[Xu et al, 2021]-simple-effective-zero-shot-cross-lingual-phoneme-recognition.pdf	phoneme_recognition	moved
docs/papers/[Zhu et al, 2025]-family-of-efficient-models-for-multilingual-phone-recognition.pdf	docs/papers/[Zhu et al, 2025]-family-of-efficient-models-for-multilingual-phone-recognition.pdf	phoneme_recognition	moved
docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint-v1.md	docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint-v1.md	rl_alignment_speech	moved
docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint-v1.pdf	docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint-v1.pdf	rl_alignment_speech	moved
docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint.md	docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint__from-rl_alignment_speech.md	rl_alignment_speech	collision_renamed
docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint.pdf	docs/papers/[Ahn et al, 2025]-lora-mllm-apa-mdd-joint__from-rl_alignment_speech.pdf	rl_alignment_speech	collision_renamed
docs/papers/[Cao et al, 2025]-mos-rmbench-speech-quality-reward-modeling.md	docs/papers/[Cao et al, 2025]-mos-rmbench-speech-quality-reward-modeling.md	rl_alignment_speech	moved
docs/papers/[Cao et al, 2025]-mos-rmbench-speech-quality-reward-modeling.pdf	docs/papers/[Cao et al, 2025]-mos-rmbench-speech-quality-reward-modeling.pdf	rl_alignment_speech	moved
docs/papers/[Chen et al, 2023]-multipa-multitask-open-response-pronunciation.md	docs/papers/[Chen et al, 2023]-multipa-multitask-open-response-pronunciation.md	rl_alignment_speech	moved
docs/papers/[Chen et al, 2023]-multipa-multitask-open-response-pronunciation.pdf	docs/papers/[Chen et al, 2023]-multipa-multitask-open-response-pronunciation.pdf	rl_alignment_speech	moved
docs/papers/[Chen et al, 2025]-textpa-zero-shot-pronunciation-llm.md	docs/papers/[Chen et al, 2025]-textpa-zero-shot-pronunciation-llm.md	rl_alignment_speech	moved
docs/papers/[Chen et al, 2025]-textpa-zero-shot-pronunciation-llm.pdf	docs/papers/[Chen et al, 2025]-textpa-zero-shot-pronunciation-llm.pdf	rl_alignment_speech	moved
docs/papers/[Cheng et al, 2020]-asr-free-pronunciation-assessment-gop.md	docs/papers/[Cheng et al, 2020]-asr-free-pronunciation-assessment-gop.md	rl_alignment_speech	moved
docs/papers/[Cheng et al, 2020]-asr-free-pronunciation-assessment-gop.pdf	docs/papers/[Cheng et al, 2020]-asr-free-pronunciation-assessment-gop.pdf	rl_alignment_speech	moved
docs/papers/[Fang et al, 2025]-mllm-automated-speaking-assessment-sfmt.md	docs/papers/[Fang et al, 2025]-mllm-automated-speaking-assessment-sfmt.md	rl_alignment_speech	moved
docs/papers/[Fang et al, 2025]-mllm-automated-speaking-assessment-sfmt.pdf	docs/papers/[Fang et al, 2025]-mllm-automated-speaking-assessment-sfmt.pdf	rl_alignment_speech	moved
docs/papers/[Fu et al, 2024]-pronunciation-assessment-multimodal-llm.md	docs/papers/[Fu et al, 2024]-pronunciation-assessment-multimodal-llm.md	rl_alignment_speech	moved
docs/papers/[Fu et al, 2024]-pronunciation-assessment-multimodal-llm.pdf	docs/papers/[Fu et al, 2024]-pronunciation-assessment-multimodal-llm.pdf	rl_alignment_speech	moved
docs/papers/[Gao et al, 2024]-emo-dpo-emotional-tts-preference.md	docs/papers/[Gao et al, 2024]-emo-dpo-emotional-tts-preference.md	rl_alignment_speech	moved
docs/papers/[Gao et al, 2024]-emo-dpo-emotional-tts-preference.pdf	docs/papers/[Gao et al, 2024]-emo-dpo-emotional-tts-preference.pdf	rl_alignment_speech	moved
docs/papers/[Gao et al, 2025]-diffro-differentiable-reward-tts.md	docs/papers/[Gao et al, 2025]-diffro-differentiable-reward-tts.md	rl_alignment_speech	moved
docs/papers/[Gao et al, 2025]-diffro-differentiable-reward-tts.pdf	docs/papers/[Gao et al, 2025]-diffro-differentiable-reward-tts.pdf	rl_alignment_speech	moved
docs/papers/[Li et al, 2025]-gsepf-dpo-perceptual-speech-enhancement.md	docs/papers/[Li et al, 2025]-gsepf-dpo-perceptual-speech-enhancement.md	rl_alignment_speech	moved
docs/papers/[Li et al, 2025]-gsepf-dpo-perceptual-speech-enhancement.pdf	docs/papers/[Li et al, 2025]-gsepf-dpo-perceptual-speech-enhancement.pdf	rl_alignment_speech	moved
docs/papers/[Li et al, 2025]-multi-task-pretraining-interpretable-apa.md	docs/papers/[Li et al, 2025]-multi-task-pretraining-interpretable-apa.md	rl_alignment_speech	moved
docs/papers/[Li et al, 2025]-multi-task-pretraining-interpretable-apa.pdf	docs/papers/[Li et al, 2025]-multi-task-pretraining-interpretable-apa.pdf	rl_alignment_speech	moved
docs/papers/[Liu et al, 2025]-ardm-dpo-autoregressive-diffusion-tts.md	docs/papers/[Liu et al, 2025]-ardm-dpo-autoregressive-diffusion-tts.md	rl_alignment_speech	moved
docs/papers/[Liu et al, 2025]-ardm-dpo-autoregressive-diffusion-tts.pdf	docs/papers/[Liu et al, 2025]-ardm-dpo-autoregressive-diffusion-tts.pdf	rl_alignment_speech	moved
docs/papers/[Liu et al, 2025]-grpo-llm-tts-cer-nll-reward.md	docs/papers/[Liu et al, 2025]-grpo-llm-tts-cer-nll-reward.md	rl_alignment_speech	moved
docs/papers/[Liu et al, 2025]-grpo-llm-tts-cer-nll-reward.pdf	docs/papers/[Liu et al, 2025]-grpo-llm-tts-cer-nll-reward.pdf	rl_alignment_speech	moved
docs/papers/[Liu et al, 2025]-rba-reinforced-behavior-alignment-speech-llms.md	docs/papers/[Liu et al, 2025]-rba-reinforced-behavior-alignment-speech-llms.md	rl_alignment_speech	moved
docs/papers/[Liu et al, 2025]-rba-reinforced-behavior-alignment-speech-llms.pdf	docs/papers/[Liu et al, 2025]-rba-reinforced-behavior-alignment-speech-llms.pdf	rl_alignment_speech	moved
docs/papers/[Nachmani et al, 2026]-voxtral-realtime-streaming-asr.md	docs/papers/[Nachmani et al, 2026]-voxtral-realtime-streaming-asr.md	rl_alignment_speech	moved
docs/papers/[Nachmani et al, 2026]-voxtral-realtime-streaming-asr.pdf	docs/papers/[Nachmani et al, 2026]-voxtral-realtime-streaming-asr.pdf	rl_alignment_speech	moved
docs/papers/[Parikh et al, 2026]-zero-shot-speech-llms-l2-multi-aspect-evaluation.md	docs/papers/[Parikh et al, 2026]-zero-shot-speech-llms-l2-multi-aspect-evaluation.md	rl_alignment_speech	moved
docs/papers/[Parikh et al, 2026]-zero-shot-speech-llms-l2-multi-aspect-evaluation.pdf	docs/papers/[Parikh et al, 2026]-zero-shot-speech-llms-l2-multi-aspect-evaluation.pdf	rl_alignment_speech	moved
docs/papers/[Shen et al, 2026]-gsrm-generative-speech-reward-model-rlhf.md	docs/papers/[Shen et al, 2026]-gsrm-generative-speech-reward-model-rlhf.md	rl_alignment_speech	moved
docs/papers/[Shen et al, 2026]-gsrm-generative-speech-reward-model-rlhf.pdf	docs/papers/[Shen et al, 2026]-gsrm-generative-speech-reward-model-rlhf.pdf	rl_alignment_speech	moved
docs/papers/[Shivakumar et al, 2025]-grpo-asr-speech-recognition-llm.md	docs/papers/[Shivakumar et al, 2025]-grpo-asr-speech-recognition-llm.md	rl_alignment_speech	moved
docs/papers/[Shivakumar et al, 2025]-grpo-asr-speech-recognition-llm.pdf	docs/papers/[Shivakumar et al, 2025]-grpo-asr-speech-recognition-llm.pdf	rl_alignment_speech	moved
docs/papers/[Sirigiaju et al, 2025]-gop2vec-few-shot-pronunciation-i-vector.md	docs/papers/[Sirigiaju et al, 2025]-gop2vec-few-shot-pronunciation-i-vector.md	rl_alignment_speech	moved
docs/papers/[Sirigiaju et al, 2025]-gop2vec-few-shot-pronunciation-i-vector.pdf	docs/papers/[Sirigiaju et al, 2025]-gop2vec-few-shot-pronunciation-i-vector.pdf	rl_alignment_speech	moved
docs/papers/[Wang et al, 2025]-fine-tuning-lmm-automatic-pronunciation-assessment.md	docs/papers/[Wang et al, 2025]-fine-tuning-lmm-automatic-pronunciation-assessment.md	rl_alignment_speech	moved
docs/papers/[Wang et al, 2025]-fine-tuning-lmm-automatic-pronunciation-assessment.pdf	docs/papers/[Wang et al, 2025]-fine-tuning-lmm-automatic-pronunciation-assessment.pdf	rl_alignment_speech	moved
docs/papers/[Wang et al, 2025]-lmm-pronunciation-assessment-gpt4o.md	docs/papers/[Wang et al, 2025]-lmm-pronunciation-assessment-gpt4o.md	rl_alignment_speech	moved
docs/papers/[Wang et al, 2025]-lmm-pronunciation-assessment-gpt4o.pdf	docs/papers/[Wang et al, 2025]-lmm-pronunciation-assessment-gpt4o.pdf	rl_alignment_speech	moved
docs/papers/[Wang et al, 2025]-vox-evaluator-zero-shot-tts-stability-fidelity.md	docs/papers/[Wang et al, 2025]-vox-evaluator-zero-shot-tts-stability-fidelity.md	rl_alignment_speech	moved
docs/papers/[Wang et al, 2025]-vox-evaluator-zero-shot-tts-stability-fidelity.pdf	docs/papers/[Wang et al, 2025]-vox-evaluator-zero-shot-tts-stability-fidelity.pdf	rl_alignment_speech	moved
docs/papers/[Wu et al, 2025]-speechjudge-grm-speech-naturalness-reward.md	docs/papers/[Wu et al, 2025]-speechjudge-grm-speech-naturalness-reward.md	rl_alignment_speech	moved
docs/papers/[Wu et al, 2025]-speechjudge-grm-speech-naturalness-reward.pdf	docs/papers/[Wu et al, 2025]-speechjudge-grm-speech-naturalness-reward.pdf	rl_alignment_speech	moved
docs/papers/[Yan et al, 2025]-hippo-hierarchical-apa-unscripted-speech.md	docs/papers/[Yan et al, 2025]-hippo-hierarchical-apa-unscripted-speech.md	rl_alignment_speech	moved
docs/papers/[Yan et al, 2025]-hippo-hierarchical-apa-unscripted-speech.pdf	docs/papers/[Yan et al, 2025]-hippo-hierarchical-apa-unscripted-speech.pdf	rl_alignment_speech	moved
docs/papers/[Zhang et al, 2025]-intp-preference-alignment-tts-intelligibility.md	docs/papers/[Zhang et al, 2025]-intp-preference-alignment-tts-intelligibility.md	rl_alignment_speech	moved
docs/papers/[Zhang et al, 2025]-intp-preference-alignment-tts-intelligibility.pdf	docs/papers/[Zhang et al, 2025]-intp-preference-alignment-tts-intelligibility.pdf	rl_alignment_speech	moved
docs/papers/[Defossez et al, 2024]-moshi-speech-text-foundation-model-for-realtime-dialogue.md	docs/papers/[Defossez et al, 2024]-moshi-speech-text-foundation-model-for-realtime-dialogue.md	streaming_realtime	moved
docs/papers/[Defossez et al, 2024]-moshi-speech-text-foundation-model-for-realtime-dialogue.pdf	docs/papers/[Defossez et al, 2024]-moshi-speech-text-foundation-model-for-realtime-dialogue.pdf	streaming_realtime	moved
docs/papers/[Kudlur et al, 2026]-moonshine-v2-ergodic-streaming-encoder-asr.md	docs/papers/[Kudlur et al, 2026]-moonshine-v2-ergodic-streaming-encoder-asr.md	streaming_realtime	moved
docs/papers/[Kudlur et al, 2026]-moonshine-v2-ergodic-streaming-encoder-asr.pdf	docs/papers/[Kudlur et al, 2026]-moonshine-v2-ergodic-streaming-encoder-asr.pdf	streaming_realtime	moved
docs/papers/[Labiausse et al, 2025]-high-fidelity-simultaneous-speech-to-speech-translation.md	docs/papers/[Labiausse et al, 2025]-high-fidelity-simultaneous-speech-to-speech-translation.md	streaming_realtime	moved
docs/papers/[Labiausse et al, 2025]-high-fidelity-simultaneous-speech-to-speech-translation.pdf	docs/papers/[Labiausse et al, 2025]-high-fidelity-simultaneous-speech-to-speech-translation.pdf	streaming_realtime	moved
docs/papers/[Labiausse et al, 2026]-simultaneous-speech-to-speech-translation-without-aligned-data.md	docs/papers/[Labiausse et al, 2026]-simultaneous-speech-to-speech-translation-without-aligned-data.md	streaming_realtime	moved
docs/papers/[Labiausse et al, 2026]-simultaneous-speech-to-speech-translation-without-aligned-data.pdf	docs/papers/[Labiausse et al, 2026]-simultaneous-speech-to-speech-translation-without-aligned-data.pdf	streaming_realtime	moved
docs/papers/[Liquid-ai et al, 2025]-lfm2-technical-report.md	docs/papers/[Liquid-ai et al, 2025]-lfm2-technical-report.md	streaming_realtime	moved
docs/papers/[Liquid-ai et al, 2025]-lfm2-technical-report.pdf	docs/papers/[Liquid-ai et al, 2025]-lfm2-technical-report.pdf	streaming_realtime	moved
docs/papers/[Qwen et al, 2025]-qwen2.5-omni-technical-report.md	docs/papers/[Qwen et al, 2025]-qwen2.5-omni-technical-report.md	streaming_realtime	moved
docs/papers/[Qwen et al, 2025]-qwen2.5-omni-technical-report.pdf	docs/papers/[Qwen et al, 2025]-qwen2.5-omni-technical-report.pdf	streaming_realtime	moved
docs/papers/[Saon et al, 2025]-granite-speech-open-source-speech-aware-llms-with-strong-english-asr.md	docs/papers/[Saon et al, 2025]-granite-speech-open-source-speech-aware-llms-with-strong-english-asr.md	streaming_realtime	moved
docs/papers/[Saon et al, 2025]-granite-speech-open-source-speech-aware-llms-with-strong-english-asr.pdf	docs/papers/[Saon et al, 2025]-granite-speech-open-source-speech-aware-llms-with-strong-english-asr.pdf	streaming_realtime	moved
docs/papers/[Sekoyan et al, 2025]-canary-parakeet-efficient-multilingual-asr-and-ast.md	docs/papers/[Sekoyan et al, 2025]-canary-parakeet-efficient-multilingual-asr-and-ast.md	streaming_realtime	moved
docs/papers/[Sekoyan et al, 2025]-canary-parakeet-efficient-multilingual-asr-and-ast.pdf	docs/papers/[Sekoyan et al, 2025]-canary-parakeet-efficient-multilingual-asr-and-ast.pdf	streaming_realtime	moved
